,query,score,attack
0,Q1,127,1
1,Q2,104,1
2,Q3,195,1
3,Q4,198,1
4,Q5,126,1
5,Q6,76,0
6,Q7,14,0
7,Q8,119,1
8,Q9,117,1
9,Q10,37,0
10,Q11,185,1
11,Q12,158,1
12,Q13,144,1
13,Q14,178,1
14,Q15,3,0
15,Q16,1,0
16,Q17,30,0
17,Q18,158,1
18,Q19,130,1
19,Q20,169,1
20,Q21,128,1
21,Q22,200,1
22,Q23,78,0
23,Q24,27,0
24,Q25,194,1
25,Q26,178,1
26,Q27,170,1
27,Q28,180,1
28,Q29,172,1
29,Q30,159,1
30,Q31,125,1
31,Q32,104,1
32,Q33,69,0
33,Q34,71,0
34,Q35,83,0
35,Q36,151,1
36,Q37,107,1
37,Q38,153,1
38,Q39,161,1
39,Q40,98,0
40,Q41,190,1
41,Q42,48,0
42,Q43,159,1
43,Q44,32,0
44,Q45,155,1
45,Q46,5,0
46,Q47,31,0
47,Q48,140,1
48,Q49,155,1
49,Q50,144,1
50,Q51,181,1
51,Q52,78,0
52,Q53,148,1
53,Q54,135,1
54,Q55,94,0
55,Q56,128,1
56,Q57,137,1
57,Q58,122,1
58,Q59,119,1
59,Q60,135,1
60,Q61,32,0
61,Q62,26,0
62,Q63,81,0
63,Q64,23,0
64,Q65,122,1
65,Q66,165,1
66,Q67,114,1
67,Q68,42,0
68,Q69,158,1
69,Q70,42,0
70,Q71,29,0
71,Q72,57,0
72,Q73,55,0
73,Q74,182,1
74,Q75,178,1
75,Q76,27,0
76,Q77,163,1
77,Q78,58,0
78,Q79,19,0
79,Q80,128,1
80,Q81,25,0
81,Q82,177,1
82,Q83,124,1
83,Q84,162,1
84,Q85,7,0
85,Q86,163,1
86,Q87,45,0
87,Q88,53,0
88,Q89,195,1
89,Q90,144,1
90,Q91,110,1
91,Q92,58,0
92,Q93,198,1
93,Q94,135,1
94,Q95,50,0
95,Q96,2,0
96,Q97,98,0
97,Q98,105,1
98,Q99,92,0
99,Q100,77,0
100,Q101,155,1
101,Q102,124,1
102,Q103,47,0
103,Q104,54,0
104,Q105,24,0
105,Q106,43,0
106,Q107,191,1
107,Q108,12,0
108,Q109,45,0
109,Q110,47,0
110,Q111,5,0
111,Q112,161,1
112,Q113,133,1
113,Q114,138,1
114,Q115,174,1
115,Q116,153,1
116,Q117,30,0
117,Q118,166,1
118,Q119,183,1
119,Q120,71,0
120,Q121,51,0
121,Q122,75,0
122,Q123,81,0
123,Q124,21,0
124,Q125,89,0
125,Q126,54,0
126,Q127,151,1
127,Q128,95,0
128,Q129,112,1
129,Q130,196,1
130,Q131,42,0
131,Q132,65,0
132,Q133,180,1
133,Q134,156,1
134,Q135,145,1
135,Q136,24,0
136,Q137,138,1
137,Q138,123,1
138,Q139,24,0
139,Q140,47,0
140,Q141,128,1
141,Q142,23,0
142,Q143,56,0
143,Q144,157,1
144,Q145,95,0
145,Q146,14,0
146,Q147,196,1
147,Q148,3,0
148,Q149,29,0
149,Q150,37,0
150,Q151,80,0
151,Q152,162,1
152,Q153,174,1
153,Q154,110,1
154,Q155,112,1
155,Q156,172,1
156,Q157,55,0
157,Q158,104,1
158,Q159,193,1
159,Q160,62,0
160,Q161,148,1
161,Q162,118,1
162,Q163,97,0
163,Q164,20,0
164,Q165,136,1
165,Q166,121,1
166,Q167,119,1
167,Q168,17,0
168,Q169,1,0
169,Q170,30,0
170,Q171,150,1
171,Q172,131,1
172,Q173,52,0
173,Q174,121,1
174,Q175,89,0
175,Q176,141,1
176,Q177,48,0
177,Q178,154,1
178,Q179,25,0
179,Q180,124,1
180,Q181,133,1
181,Q182,56,0
182,Q183,69,0
183,Q184,38,0
184,Q185,16,0
185,Q186,86,0
186,Q187,68,0
187,Q188,187,1
188,Q189,194,1
189,Q190,111,1
190,Q191,39,0
191,Q192,34,0
192,Q193,143,1
193,Q194,126,1
194,Q195,198,1
195,Q196,133,1
196,Q197,126,1
197,Q198,111,1
198,Q199,73,0
199,Q200,53,0
200,Q201,104,1
201,Q202,150,1
202,Q203,187,1
203,Q204,124,1
204,Q205,116,1
205,Q206,186,1
206,Q207,153,1
207,Q208,170,1
208,Q209,12,0
209,Q210,154,1
210,Q211,31,0
211,Q212,114,1
212,Q213,180,1
213,Q214,34,0
214,Q215,143,1
215,Q216,74,0
216,Q217,20,0
217,Q218,56,0
218,Q219,116,1
219,Q220,69,0
220,Q221,57,0
221,Q222,2,0
222,Q223,29,0
223,Q224,187,1
224,Q225,19,0
225,Q226,169,1
226,Q227,196,1
227,Q228,82,0
228,Q229,14,0
229,Q230,167,1
230,Q231,42,0
231,Q232,33,0
232,Q233,143,1
233,Q234,100,0
234,Q235,109,1
235,Q236,99,0
236,Q237,29,0
237,Q238,148,1
238,Q239,188,1
239,Q240,125,1
240,Q241,195,1
241,Q242,133,1
242,Q243,130,1
243,Q244,89,0
244,Q245,32,0
245,Q246,132,1
246,Q247,199,1
247,Q248,174,1
248,Q249,0,0
249,Q250,149,1
250,Q251,123,1
251,Q252,86,0
252,Q253,63,0
253,Q254,130,1
254,Q255,32,0
255,Q256,127,1
256,Q257,43,0
257,Q258,71,0
258,Q259,24,0
259,Q260,104,1
260,Q261,136,1
261,Q262,95,0
262,Q263,45,0
263,Q264,44,0
264,Q265,174,1
265,Q266,51,0
266,Q267,181,1
267,Q268,84,0
268,Q269,129,1
269,Q270,133,1
270,Q271,134,1
271,Q272,34,0
272,Q273,141,1
273,Q274,124,1
274,Q275,125,1
275,Q276,7,0
276,Q277,200,1
277,Q278,147,1
278,Q279,153,1
279,Q280,180,1
280,Q281,107,1
281,Q282,96,0
282,Q283,187,1
283,Q284,153,1
284,Q285,139,1
285,Q286,116,1
286,Q287,21,0
287,Q288,39,0
288,Q289,105,1
289,Q290,200,1
290,Q291,60,0
291,Q292,13,0
292,Q293,198,1
293,Q294,151,1
294,Q295,134,1
295,Q296,178,1
296,Q297,109,1
297,Q298,145,1
298,Q299,112,1
299,Q300,79,0
300,Q301,172,1
301,Q302,70,0
302,Q303,120,1
303,Q304,49,0
304,Q305,107,1
305,Q306,152,1
306,Q307,174,1
307,Q308,45,0
308,Q309,151,1
309,Q310,155,1
310,Q311,124,1
311,Q312,165,1
312,Q313,192,1
313,Q314,173,1
314,Q315,183,1
315,Q316,9,0
316,Q317,14,0
317,Q318,143,1
318,Q319,199,1
319,Q320,68,0
320,Q321,55,0
321,Q322,93,0
322,Q323,169,1
323,Q324,69,0
324,Q325,179,1
325,Q326,135,1
326,Q327,39,0
327,Q328,82,0
328,Q329,81,0
329,Q330,178,1
330,Q331,9,0
331,Q332,57,0
332,Q333,50,0
333,Q334,119,1
334,Q335,49,0
335,Q336,191,1
336,Q337,115,1
337,Q338,58,0
338,Q339,61,0
339,Q340,57,0
